number,name,votes,electronic,abroad,mandate,district,party
347,Igor Gräzin,1973,701,6,Ringkonnamandaat,9,Eesti Reformierakond
714,Olga Ivanova,1948,217,1,Ringkonnamandaat,2,Eesti Keskerakond
942,Indrek Saar,1944,597,5,Ringkonnamandaat,12,Sotsiaaldemokraatlik Erakond
289,Eerik-Niiles Kross,1944,889,9,#N/A,3,Eesti Reformierakond
148,Mare Liiger,1924,499,4,#N/A,2,Eesti Konservatiivne Rahvaerakond
299,Kalle Palling,1917,627,1,Ringkonnamandaat,4,Eesti Reformierakond
726,Mihhail Korb,1904,193,1,Ringkonnamandaat,2,Eesti Keskerakond
212,Jaak Madison,1883,443,2,Kompensatsioonimandaat,8,Eesti Konservatiivne Rahvaerakond
221,Malle Pärn,1867,457,4,#N/A,9,Eesti Konservatiivne Rahvaerakond
703,Viktor Vassiljev,1862,206,2,Ringkonnamandaat,1,Eesti Keskerakond
628,Andres Ammas,1859,718,5,Ringkonnamandaat,5,Eesti Vabaerakond
729,Erki Savisaar,1826,104,3,Ringkonnamandaat,3,Eesti Keskerakond
388,Liisa-Ly Pakosta,1808,894,13,#N/A,1,Erakond Isamaa ja Res Publica Liit
241,Uno Kaskpeit,1807,450,5,Ringkonnamandaat,11,Eesti Konservatiivne Rahvaerakond
829,Aleksei Turovski,1787,758,3,#N/A,1,Sotsiaaldemokraatlik Erakond
472,Aivar Kokk,1725,389,0,Ringkonnamandaat,9,Erakond Isamaa ja Res Publica Liit
808,Tarmo Tamm,1721,204,0,Ringkonnamandaat,11,Eesti Keskerakond
298,Laine Randjärv,1698,715,3,Kompensatsioonimandaat,4,Eesti Reformierakond
463,Kaia Iva,1684,522,1,#N/A,8,Erakond Isamaa ja Res Publica Liit
425,Tiina Kangro,1669,693,2,#N/A,4,Erakond Isamaa ja Res Publica Liit
727,Arvo Sarapuu,1662,128,1,#N/A,3,Eesti Keskerakond
629,Enn Meri,1619,600,2,#N/A,5,Eesti Vabaerakond
231,Imre Mürk,1577,385,14,#N/A,10,Eesti Konservatiivne Rahvaerakond
502,Annely Akkermann,1571,504,6,#N/A,12,Erakond Isamaa ja Res Publica Liit
776,Martin Repinski,1556,124,0,Ringkonnamandaat,7,Eesti Keskerakond
426,Aivar Riisalu,1536,653,1,#N/A,4,Erakond Isamaa ja Res Publica Liit
358,Urmas Klaas,1501,465,3,Kompensatsioonimandaat,10,Eesti Reformierakond
492,Priit Sibul,1491,374,1,Ringkonnamandaat,11,Erakond Isamaa ja Res Publica Liit
911,Jaan Õunapuu,1447,413,3,#N/A,9,Sotsiaaldemokraatlik Erakond
280,Ivi Eenmaa,1407,688,8,#N/A,2,Eesti Reformierakond
471,Jaak Aaviksoo,1405,577,5,Kompensatsioonimandaat,9,Erakond Isamaa ja Res Publica Liit
398,Viktoria Ladõnskaja,1393,747,1,Ringkonnamandaat,2,Erakond Isamaa ja Res Publica Liit
399,Sven Sester,1392,629,2,#N/A,2,Erakond Isamaa ja Res Publica Liit
264,Remo Holsmer,1385,780,3,#N/A,1,Eesti Reformierakond
736,Igor Kravtšenko,1360,92,3,#N/A,3,Eesti Keskerakond
378,Jüri Jaanson,1328,469,2,Ringkonnamandaat,12,Eesti Reformierakond
681,Kaul Nurm,1315,509,1,#N/A,11,Eesti Vabaerakond
740,Vladimir Velman,1294,134,0,Ringkonnamandaat,4,Eesti Keskerakond
712,Märt Sults,1285,131,1,Ringkonnamandaat,1,Eesti Keskerakond
797,Marina Riisalu,1284,72,1,#N/A,10,Eesti Keskerakond
389,Tarmo Kruusimäe,1260,618,4,#N/A,1,Erakond Isamaa ja Res Publica Liit
411,Juku-Kalle Raid,1257,655,4,#N/A,2,Erakond Isamaa ja Res Publica Liit
636,Emil Rutiku,1243,416,3,#N/A,6,Eesti Vabaerakond
789,Peeter Võsa,1235,148,2,#N/A,9,Eesti Keskerakond
316,Tarmo Mänd,1233,385,2,#N/A,5,Eesti Reformierakond
879,Neeme Suur,1213,375,2,#N/A,5,Sotsiaaldemokraatlik Erakond
379,Väino Linde,1206,476,1,#N/A,12,Eesti Reformierakond
501,Igor Taro,1202,493,2,#N/A,11,Erakond Isamaa ja Res Publica Liit
483,Kalle Muuli,1196,441,3,#N/A,10,Erakond Isamaa ja Res Publica Liit
941,Inara Luigas,1192,257,2,#N/A,11,Sotsiaaldemokraatlik Erakond
323,Marko Torm,1165,381,2,#N/A,6,Eesti Reformierakond
779,Kersti Sarapuu,1164,127,1,Kompensatsioonimandaat,8,Eesti Keskerakond
692,Jüri Saar,1161,448,3,#N/A,12,Eesti Vabaerakond
733,Margarita Tšernogorova,1159,87,2,#N/A,3,Eesti Keskerakond
795,Aleksandr Širokov,1137,88,1,#N/A,9,Eesti Keskerakond
173,Siim Pohlak,1128,232,1,#N/A,4,Eesti Konservatiivne Rahvaerakond
807,Anneli Ott,1119,129,1,#N/A,11,Eesti Keskerakond
276,Urmas Sutrop,1109,616,0,#N/A,2,Eesti Reformierakond
798,Nikolai Põdramägi,1105,68,2,#N/A,10,Eesti Keskerakond
707,Andrei Novikov,1096,90,2,#N/A,1,Eesti Keskerakond
